,Smiles,Standard Value
1571,CNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,2110
2913,Nc1nc(-c2ccco2)c2nnn(Cc3cccc(C(=O)O)c3)c2n1,2110
476,CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,2100
579,CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,2100
1153,CCCn1c(=O)c2nc(-c3cc(C)nn3CC)[nH]c2n(CCC)c1=O,2100
868,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5cccc(Cl)c5)n4)cc3)[nH]c2n(CCC)c1=O,2080
901,CCCn1c(=O)c2nc(-c3cc(NC(=O)CCCN)nn3C)[nH]c2n(CCC)c1=O.Cl,2065
39,CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,2056
1605,CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,2056
1691,CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,2056
2326,CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,2056
2440,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,2040
2947,CCOC(=O)c1cnc(NCc2ccc(C(F)(F)F)cc2)n2nc(-c3ccco3)nc12,2040
17,C=CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,2030
288,CNC(=O)c1cnc(N)n2nc(-c3ccco3)nc12,2030
1226,CCCn1c(-c2ccco2)nc2c(N)nc(NCCc3ccccc3)nc21,2030
251,COc1cnc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccc(F)cc3)nc12,2000
253,COc1ccc(N2CCOCC2)c2sc(NC(=O)C3(C)CCC(C)(O)CC3)nc12,2000
1057,CCCN1C(=O)N2C[C@@H](C(C)C)N=C2c2[nH]c(C34CCC(O)(CC3)CC4)nc21,2000
1322,N=C1c2c(C(N)=O)nc(-c3ccccc3O)n2CN1c1ccc(O)cc1,1995.26
1950,CCSCCn1c(=O)c2[nH]c(Cc3ccco3)nc2n(CCCOC)c1=O,1995.26
115,CCOC(=O)c1cnc(NCc2ccc(F)cc2)n2nc(-c3ccco3)nc12,1970
1864,Cc1c(S(C)(=O)=O)c(=O)[nH]c2ccc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)cc12,1933
112,O=C(CCc1ccccc1)NCc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1,1926
2514,CC1=C(C(=O)OCc2ccccc2)C(c2cccs2)NC(=O)N1,1916
689,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)c4ccccc4)nc32)[C@H](O)[C@@H]1O,1913
1006,CCOC(=O)c1cnc(NC(=O)Nc2ccccc2)n2nc(-c3ccco3)nc12,1900
1904,CCCN1C(=O)N2C[C@@H](CC)N=C2c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc21,1900
2515,CC1=C(C(=O)OC(C)(C)C)C(c2ccoc2)NC(=S)N1,1893
1045,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,1890
1266,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,1890
2620,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,1890
1471,CCCn1c(-c2ccco2)nc2c(NCCCc3ccccc3)ncnc21,1870
1025,O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCc3cc(Br)c(Br)cc3Br)cc2c2nc(-c3ccco3)nn12,1861
341,Cc1ccc(-c2cc(C(=O)NCc3nccn3C(C)C)nc(N)n2)o1,1844
1129,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccccc5Cl)no4)cc3)[nH]c2n(CCC)c1=O,1830
3080,CC1=C(C(=O)OC(C)C)C(c2ccsc2)NC(=O)N1C,1811
1530,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,1800
3182,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,1800
953,CCOc1cccc2c(C)nc(NC(=N)N)nc12,1780
490,Nc1nc(-c2cc[nH]n2)c2nnn(Cc3ccccc3F)c2n1,1778
2083,CCn1c(=O)c2nc[nH]c2n(CC)c1=O,1770
169,CCCn1c(Br)nc2c(NCCCc3ccccc3)ncnc21,1760
2820,O=C(O)COc1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1,1760
2983,CCCn1c(-c2ccco2)nc2c(NCc3ccccc3)ncnc21,1760
468,Cn1cc2c(nc(NC3CC3)n3nc(-c4ccco4)nc23)n1,1750
187,C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccs2)n(C)c1=O,1740
1489,CCCn1c(Br)nc2c(N)nc(NCc3ccccc3)nc21,1740
917,c1coc(CNc2nc3ccccc3n3nc(-c4ccco4)nc23)c1,1737.8
805,CCCCn1c(=O)c2nc[nH]c2n(CC)c1=O,1720
2067,COc1ccc(NC(=O)Nc2nc3nn(C(C)(C)C)cc3c3nc(-c4ccco4)nn23)cc1,1715
752,CCCn1cnc2c(N)ncnc21,1700
1488,CCCn1cnc2c(N)ncnc21,1700
1817,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5cccc(OC)c5)no4)cc3)[nH]c2n(CCC)c1=O,1680
2418,CS(=O)(=O)c1c(CCc2ccccc2)c2cc(OCC(=O)Nc3ccccc3)ccc2[nH]c1=O,1675
2166,CCC(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccc3c(c2)OCO3)n1,1668
197,Cn1c(=O)c2c(cc(-c3ccccc3)n2O)n(C)c1=O,1660
1230,Cn1c(=O)c2c(nc(-c3ccccc3)n2O)n(C)c1=O,1660
2946,CCOC(=O)c1cnc(NCc2ccc(Cl)cc2)n2nc(-c3ccco3)nc12,1630
276,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc(N(C)C)cc4)nn3C)[nH]c2n(CCC)c1=O,1628
2476,CCn1c(=O)c2nc[nH]c2n(C)c1=O,1620
1574,Cn1cc(-c2cnc(N)n3nc(-c4nccs4)nc23)ccc1=O,1586
196,N=C1c2c(C(N)=O)nc(-c3ccccc3O)n2CN1c1ccc(O)cc1,1584.89
524,CC1=C(C(=O)OC(C)C)C(c2cccs2)NC(S)=N1,1572
1431,CC1=C(C(=O)OC(C)C)C(c2cccs2)NC(S)=N1,1572
3097,CC1=C(C(=O)OCC2CC2)C(c2cccs2)NC(=O)N1,1572
245,CN(C)c1nc(-c2nccs2)c2sccc2n1,1560
1622,COc1cc(OCC(=O)O)ccc1-c1cc2c([nH]1)c(=O)n(C)c(=O)n2C,1548.82
1516,CCCn1c(=O)c2[nH]c(C3C4CC5OC(=O)C3C5C4)nc2n(CCC)c1=O,1540
3141,CCCOC(=O)C1=C(C)NC(=O)NC1c1cccs1,1519
1812,CCOC(=O)COc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OC,1513.56
168,CCCn1c(Br)nc2c(N)nc(NCCc3ccccc3)nc21,1490
2211,CC1=C(C(=O)OC(C)C)C(c2ccoc2)NC(=O)N1,1486
2612,CC1=C(C(=O)OC(C)C)C(c2ccoc2)NC(=O)N1,1486
2880,CC1=C(C(=O)OC(C)C)C(c2ccoc2)NC(=O)N1,1486
2919,CC1=C(C(=O)OC(C)C)C(c2ccoc2)NC(=O)N1,1486
3081,CC1=C(C(=O)OC(C)C)C(c2ccoc2)NC(=O)N1,1486
657,Nc1nc(C(=O)NCc2cccc3cccnc23)c2ccccc2n1,1470
416,CC1(C)c2ccc(C(=O)NCCc3ccc(Nc4ncnc5c4ncn5[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)cc3)cc2C(C)(C)N1[O],1450
1899,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5cccc(F)c5)no4)cc3)[nH]c2n(CCC)c1=O,1450
3133,CCn1c(-c2ccccc2)nc2c(NC3CCC3)ncnc21,1440
2948,COc1cnc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccc(F)cc3)nc12,1400
383,Cn1c(=O)c2c(ncn2CCCl)n(C)c1=O,1390
2814,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCCCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,1380
698,O=C(Nc1ccc(O)c(O)c1)c1coc2ccccc2c1=O,1350
65,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2n(C)c1=O,1330
507,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2n(C)c1=O,1330
991,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2n(C)c1=O,1330
2066,C=CCn1c(=O)c2nc[nH]c2n(CC=C)c1=O,1330
886,CCn1ccnc1CNC(=O)c1cc(-c2ccc(C)o2)nc(N)n1,1304
1735,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1,1300
1278,Nc1nc(-n2cncn2)c2nnn(Cc3ccccc3F)c2n1,1294
1366,Nc1nc(-c2cnn[nH]2)c2nnn(Cc3ccccc3F)c2n1,1294
333,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,1270
3002,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)c4cccc(OC)c4)nc32)[C@H](O)[C@@H]1O,1268
566,COc1cccc2cc(C(=O)NCCCCCO)c(=N)oc12,1258.93
855,CC(C)Cn1c(=O)c2nc(-c3cnn(Cc4ccccc4)c3)[nH]c2n(CC(C)C)c1=O,1250
201,Cc1ccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)cc1,1240
2442,CCC(C)n1c(Br)nc2c(N)ncnc21,1200
3147,CCCOC(=O)C1=C(C)NC(=O)NC1c1ccoc1,1192
715,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)c4cccc([N+](=O)[O-])c4)nc32)[C@H](O)[C@@H]1O,1188
3069,CC1=C(C(=O)OCC(C)C)C(c2ccsc2)NC(=O)N1,1188
839,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,1183
1359,CNC(=O)c1cnc(NC(=O)Nc2ccccc2)n2nc(-c3ccco3)nc12,1180
1088,CC1=C(C(=O)OC(C)C)C(c2ccco2)NC(=O)N1C,1151
3072,CC1=C(C(=O)OC(C)C)C(c2ccco2)NC(=O)N1C,1151
2766,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,1150
1535,Nc1nc(-c2ccco2)c2nnn(Cc3cnccn3)c2n1,1136
2517,CC1=C(c2ncc(C)o2)C(c2ccsc2)NC(=O)N1,1126
1928,O=C(COc1ccc2[nH]c(=O)c(-c3ccco3)c(CCc3ccccc3)c2c1)NCc1ccccc1,1124
1582,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccccc5C)no4)cc3)[nH]c2n(CCC)c1=O,1120
647,Nc1nc2nn(CCc3cc(Br)c(Br)cc3Br)cc2c2nc(-c3ccco3)nn12,1113
97,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,1110
121,CCOC(=O)c1cnc(N)n2nc(-c3ccco3)nc12,1110
129,Cn1cc2c(nc(NC3CCC3)n3nc(-c4ccco4)nc23)n1,1110
1695,CCCn1c(=O)c2nc[nH]c2n(CCC)c1=O,1110
3218,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,1110
478,CC1=C(C(=O)OC(C)C)C(c2cc[nH]n2)n2c(nc3ccccc32)N1,1104
600,CCOC(=O)C1=C(C)N=C(S)NC1c1ccsc1,1103
3070,CCOC(=O)C1=C(C)N=C(S)NC1c1ccsc1,1103
1938,CC(C)n1c(Br)nc2c(N)ncnc21,1100
2436,CCCn1c(=O)c2nc(-c3ccnn3-c3ccccc3)[nH]c2n(CCC)c1=O,1100
3245,CCCn1c(-c2cccc(OC)c2)nc2nc(C3CCCC3)[nH]c2c1=O,1100
1507,CC1=C(C(=O)OC2CCC2)C(c2cccs2)NC(=O)N1,1094
2780,Cc1ccc(-c2cc(C(=O)NCc3ccccn3)nc(N)n2)o1,1089
3149,CC1=C(C(=O)C2CC2)C(c2ccco2)NC(=O)N1,1062
388,CCCn1c(=O)[nH]c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccccc4)cc3)cc21,1047.13
2130,CC1=C(C(=O)OCC2CCC2)C(c2ccsc2)NC(=O)N1,1041
1344,CCCn1c(-c2ccccc2)nc2c(N)ncnc21,1040
3262,CC1=C(C(=O)OC(C)C)C(c2ccno2)n2c(nc3ccccc32)N1,1031
475,CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,1030
41,CN(Cc1ccc(Cl)c(Cl)c1)C(=O)COc1ccc2[nH]c(=O)c(S(C)(=O)=O)c(CCc3ccccc3)c2c1,1017
2680,CCCn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(C)cn4)nn3C)[nH]c2n(CCC)c1=O,1012
389,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5cccc(C(F)(F)F)c5)n4)cc3)[nH]c2n(CCC)c1=O,1010
1435,CC1=C(C(=O)OC2CCCC2)C(c2ccoc2)NC(=O)N1,1008
3204,CC1=C(C(=O)CC(C)C)C(c2ccoc2)NC(=O)N1,1008
2522,CC1=C(C(=O)CC(C)C)C(c2ccsc2)NC(=O)N1,1002
47,O=C(CCCc1cccc(Cl)c1)Nc1nc2ccccc2c(=O)s1,1000
218,CNc1ncc(C(=O)OCc2cccc(OC)c2)c2nc(-c3ccco3)nn12,1000
252,COc1ccc(N2CCOCC2)c2sc(NC(=O)C3(C)CCC(O)CC3)nc12,1000
1190,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,1000
2368,COC(=O)/C(C#N)=C/c1cccc(OC)c1O,1000
2378,COc1cccc(/C=C/CC(=O)Nc2nc3ccccc3c(=O)s2)c1,1000
2451,Clc1cccc(-c2nc(N3CCCCC3)c3nc[nH]c3n2)c1,1000
2883,Nc1nc(-n2cccn2)nc(-n2cccn2)c1Br,1000
3103,COc1cccc2cc(C(=O)NCC(O)c3ccccc3)c(=N)oc12,1000
2723,CC(C)Cn1c(=O)c2nc(-c3cnn(Cc4cccc(F)c4)c3)[nH]c2n(CC(C)C)c1=O,990
2521,COC(=O)C1=C(C)N=C(S)NC1c1ccco1,984
971,CCCCn1c(=O)c2nc(-c3cnn(Cc4ccccc4)c3)[nH]c2n(CCCC)c1=O,980
2475,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,975
2693,O=c1[nH]c2[nH]cnc2c(=O)n1C1CCCC1,965
3273,CCCn1c(=O)c2[nH]c(-c3cccc(S(=O)(=O)F)c3)nc2n(CCC)c1=O,954.99
2148,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5cccc(C(F)(F)F)c5)no4)cc3)[nH]c2n(CCC)c1=O,945
2361,CC(C)N(C)C(=O)c1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,937
1027,Nc1nc(C(=O)NCc2cccc(F)c2)cc(-c2ccco2)n1,924
1973,Cc1ccccc1CNC(=O)c1cc(-c2ccco2)nc(N)n1,917
1363,NCc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,916
2525,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCN3CCOCC3)cc2)n(CCC)c1=O,911
450,c1csc(-c2nc(C3CC3)nc3ccsc23)n1,910
1426,COC(=O)c1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,907
2516,CC1=C(c2ncc(C)o2)C(c2ccco2)NC(=O)N1,905
1339,CCOC(=O)C1=C(C)N/C(=N\C#N)NC1c1ccco1,900
2050,COc1cc(OCC(=O)N2CCC(c3ccccc3)CC2)ccc1-c1cc2c([nH]1)c(=O)n(C)c(=O)n2C,891.25
3181,CC1=C(C(=O)OCc2ccccc2)C(c2ccco2)NC(=O)N1,887
487,N#Cc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,885
1497,N#Cc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,885
959,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,884
2243,CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3ccncc3)c(CCc3ccccc3)c2c1)c1ccccc1,884
3052,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)ncnc21,879
100,CC(C)c1nc(-c2nccs2)c2sccc2n1,865
697,CC(C)c1nc(-c2nccs2)c2sccc2n1,865
2992,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCCn3ccnc3)cc2)n(CCC)c1=O,862
140,Nc1ncnc2c1nc(Br)n2C1CCCC1,860
594,Nc1nc(C(=O)NCc2ccccc2)cc(-c2ccco2)n1,858
849,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCCN3CCOCC3)cc2)n(CCC)c1=O,853
1208,CC1=C(C(=O)OC(C)C)C(c2ccsc2)n2ccnc2N1,847.3
282,O=C(Nc1nc(-c2ccccc2)c(-c2ccccn2)s1)c1ccco1,841
396,CCn1c(Br)nc2c(N)ncnc21,840
2033,CCn1c(Br)nc2c(N)ncnc21,840
2423,CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OCC)cc3)nn12,838
70,Nc1nc(-c2ncco2)c2nnn(Cc3ccccc3F)c2n1,836
1367,Nc1nc(-c2ncco2)c2nnn(Cc3ccccc3F)c2n1,836
3289,CCCCC#Cc1nc(N)c2nc(-c3cccs3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,834
1115,CCSCCn1c(=O)c2[nH]c(Cc3ccccc3)nc2n(Cc2ccco2)c1=O,831.76
2957,CC1=C(C(=O)OC(C)C)C(c2ccsc2)n2ncnc2N1,816.7
1740,O=c1[nH]c(=O)c2[nH]c(-c3ccccc3)nc2[nH]1,810
3075,CCCC(=O)C1=C(C)NC(=O)NC1c1ccco1,807
451,COc1ccc(NC(=O)Nc2nc3nn(CCCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1,802
1505,CC1=C(c2ncc(C)o2)C(c2ccoc2)NC(=O)N1,801
2429,O=C(CCc1ccccc1F)Nc1nc2ccccc2c(=O)s1,801
2565,Cn1c(=O)c2c(nc3n2CCN3C2CCCCCCC2)n(C)c1=O,800
1963,Cc1ccc(-c2cc(C(=O)NCc3ncc[nH]3)nc(N)n2)o1,798
2696,Cn1c(-c2ccco2)nc2c(NC(=O)C(c3ccccc3)c3ccccc3)ncnc21,792
429,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccon1,789
1265,Cn1c(-c2ccco2)nc2c(N)ncnc21,786
2202,CCCn1c(-c2ccccc2)nc2c(NC3CCC3)ncnc21,774
2538,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ncco1,769
611,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,760
596,Nc1nc(C(=O)NCc2ccccn2)cc(-c2ccco2)n1,754
2812,CC1=C(C(=O)OC(C)C)C(c2nccs2)n2c(nc3ccccc32)N1,753
2406,COc1ccccc1Cn1nnc2c(-c3ccco3)nc(N)nc21,741
2518,CC1=C(C(=O)OCC2CCC2)C(c2ccoc2)NC(=O)N1,739
1421,CCOC(=O)C1=C(C(F)(F)F)Nc2nc3ccccc3n2C1c1ccco1,731
1714,CC1=C(C(=O)OC(C)C)C(c2cccs2)n2ccnc2N1,728.1
3150,CC1=C(C(=O)OCC2CC2)C(c2ccsc2)NC(=O)N1,724
1039,CCc1nc(-c2nccs2)c2sccc2n1,721
2700,CC1=C(C(=O)OC(C)C)C(c2ccon2)n2c(nc3ccccc32)N1,721
2032,Cn1c(Br)nc2c(N)ncnc21,720
2278,Cn1c(Br)nc2c(N)ncnc21,720
1257,CCOC(=O)C1=C(CC)NC(=O)NC1c1ccco1,714.6
2701,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccno1,714
1755,CN(Cc1ccc(Cl)c(Cl)c1)C(=O)COc1ccc2[nH]c(=O)c(S(C)(=O)=O)c(CCc3ccccc3)c2c1,710
1071,CC1=C(C(=O)OC(C)C)C(c2ncco2)n2c(nc3ccccc32)N1,708
3260,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cc[nH]n1,707
88,CCCn1c(=O)c2nc(-c3cnn(Cc4ccc(F)cc4F)c3)[nH]c2n(CCC)c1=O,700
1673,COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,700
1754,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5cccc(C)c5)n4)cc3)[nH]c2n(CCC)c1=O,700
3220,COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,700
207,CCOC(=O)C1=C(C)Nc2ncnn2C1c1ccsc1,699.2
530,CCCn1c(=O)c2c(nc(-c3ccccc3)n2CCCl)n(CCC)c1=O,691
599,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1,680
2617,COc1cccc(/C=C/C(=O)Nc2nc3ccccc3c(=O)s2)c1,679
300,COCCCNC(=O)COc1ccc2c(c1)c(CCc1ccccc1)c(-c1ccc(F)cc1F)c(=O)n2C,677
1456,CCCn1c(=O)c2c(cc(-c3ccccc3)n2O)n(CCC)c1=O,676
42,N#Cc1c(CCc2ccccc2)c2cc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)ccc2[nH]c1=O,667
979,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(CCC)c1=O,663
3076,CC1=C(C(=O)OC2CCCC2)C(c2ccsc2)NC(=O)N1,659
1542,CC(C)OC(=O)C1=C(C(F)(F)F)NC(=O)NC1c1ccsc1,651
856,CCCn1c(=O)c2nc(-c3cnn(Cc4c(F)cc(F)cc4F)c3)[nH]c2n(CCC)c1=O,650
2205,CCN(CC)C1CCC(C)(C(=O)Nc2nc3c(OC)ccc(N4CCOCC4)c3s2)CC1,650
3124,CCCn1c(-c2cccc(OC)c2)nc2nc(C3CCCC3)[nH]c2c1=O,650
2541,CCCn1c(=O)c2nc(-c3ccc(NC(=O)Cc4ccccc4)cc3)[nH]c2n(CCC)c1=O,649
2228,CC1=C(C(=O)OC(C)C)C(c2ccsc2)N/C(=N/C#N)N1,647
2421,Cn1c(=O)n(CCc2ccccc2)c(=O)c2[nH]cnc21,646
2486,Nc1nc(-c2ccco2)c2nnn(Cc3cccc([N+](=O)[O-])c3)c2n1,646
609,CCSCCn1c(=O)c2[nH]c(Cc3ccco3)nc2n(Cc2ccco2)c1=O,645.65
1561,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccccc5F)n4)cc3)[nH]c2n(CCC)c1=O,645
772,COc1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,643
2921,CC1=C(C(=O)OC(C)C(F)(F)F)C(c2ccsc2)NC(=O)N1,643
142,CC(O)Cn1c(Br)nc2c(N)ncnc21,640
2122,CCCn1c(=O)c2nc(-c3cnn(Cc4ccc(F)c(C(F)(F)F)c4)c3)[nH]c2n(CCC)c1=O,640
1432,CC1=C(C(=O)SC(C)C)C(c2ccoc2)NC(=O)N1,637
774,Nc1nc(-c2ccco2)c2nnn(CC3CCCCC3)c2n1,634
1946,COCCCNC(=O)COc1ccc2c(c1)c(CCc1ccccc1)c(-c1ccc(F)cc1F)c(=O)n2C,633
1526,COc1cccc2cc(C(=O)NCCc3ccc(O)cc3)c(=N)oc12,630.96
2487,N#Cc1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,630
2267,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(O)cc5)nc43)[C@H](O)[C@@H]2O)n1,624
2174,Cc1cccc(-c2cc(-c3ccco3)nc(N)c2C#N)c1,620
2613,CCCn1c(=O)c2[nH]c(-c3cccc(N=C=S)c3)nc2n(CCC)c1=O,616.6
1177,CCCn1c(=O)c2nc([C@H]3CC4C[C@@H]3[C@H]3O[C@@H]43)[nH]c2n(CCC)c1=O,611
2311,CCOC(=O)C1=C(C)N=C(S)NC1c1ccco1,608.4
3148,CCOC(=O)C1=C(C)N=C(S)NC1c1ccco1,608
3166,CCOC(=O)C1=C(C)Nc2ncnn2C1c1ccoc1,602.4
29,CCCn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4cccs4)cc3)cc2n(CCC)c1=O,602
771,CC(C)NC(=O)c1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,593
2727,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(CCC)c1=O,590
310,CCCn1c(=O)c2c(cc(-c3ccc(C)cc3)n2O)n(CCC)c1=O,589
22,CCCn1c(=O)c2[nH]c(-c3ccccc3)nc2n(CC[S+]([O-])CC)c1=O,588.84
1288,CC1=C(C(=O)OCC(F)(F)F)C(c2ccoc2)NC(=O)N1,588
1047,CCOC(=O)C1=C(C)NC(=O)NC1c1ccco1,585.5
1387,CCOC(=O)C1=C(C)NC(=O)NC1c1ccco1,585.5
2085,CCOC(=O)C1=C(C)NC(=O)NC1c1ccco1,585.5
158,CCOC(=O)C1=C(C)NC(=O)NC1c1ccco1,585
3067,CCOC(=O)C1=C(C)NC(=O)NC1c1ccco1,585
1640,CCCN1C(=O)N2C[C@@H](CC)N=C2c2[nH]c(C34CCC(O)(CC3)CC4)nc21,580
2819,COc1cccc(-c2cc(NC(C)=O)nc(-c3cccc(OC)c3OC)c2)c1OC,579
2527,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCc3ccccc3)cc2)n(CCCC)c1=O,578
3171,CC1=C(C(=O)OC2CCCC2)C(c2ccco2)NC(=O)N1,577
2335,CCOC(=O)C1=C(C(F)(F)F)NC(=O)NC1c1ccsc1,575
192,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,570
238,Cn1nc(NC(=O)Cc2ccccc2)cc1-c1nc2c(=O)n(C)c(=O)n(C)c2[nH]1,569
3208,CCCn1c(=O)c2[nH]c(-c3cccc(OS(=O)(=O)F)c3)nc2n(CCC)c1=O,562.34
1433,CC1=C(C(=O)OCC2CCC2)C(c2ccco2)NC(=O)N1,561
1300,CCCn1c(Oc2cccnc2C)nc2nc(C3CCCC3)[nH]c2c1=O,560
653,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccccc5OC)no4)cc3)[nH]c2n(CCC)c1=O,557
888,C#CCn1c(=O)[nH]c2[nH]cnc2c1=O,552
433,C=CCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O,549.54
